                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.65315,                0.39035,                0.83856,                 0.9037,                0.87496,                0.93654,                0.79205,                 0.6137,                0.37022,                0.82535,              0.0043075,              0.0043075,              0.0043075
                    118,                0.65064,                0.38816,                0.83835,                0.90378,                0.87461,                0.93649,                0.79195,                0.61358,                 0.3703,                0.82538,               0.004258,               0.004258,               0.004258
                    119,                0.65341,                0.38945,                0.83935,                0.90254,                0.87569,                 0.9363,                0.79176,                0.61357,                0.37061,                0.82532,              0.0042085,              0.0042085,              0.0042085
                    120,                0.65206,                0.38846,                0.83884,                0.90325,                0.87511,                0.93613,                0.79182,                0.61364,                0.37077,                0.82532,               0.004159,               0.004159,               0.004159
                    121,                0.65108,                 0.3872,                 0.8386,                0.90353,                0.87563,                 0.9361,                0.79185,                0.61369,                0.37087,                0.82529,              0.0041095,              0.0041095,              0.0041095
                    122,                0.65327,                0.38946,                0.83854,                0.90305,                0.87611,                0.93613,                0.79195,                0.61362,                0.37054,                0.82525,                0.00406,                0.00406,                0.00406
                    123,                0.65055,                0.38675,                0.83785,                0.90509,                 0.8736,                 0.9361,                0.79204,                0.61359,                0.37048,                0.82519,              0.0040105,              0.0040105,              0.0040105
                    124,                 0.6481,                0.38479,                0.83782,                0.90586,                0.87347,                0.93604,                0.79196,                0.61367,                0.37042,                0.82519,               0.003961,               0.003961,               0.003961
                    125,                0.64873,                0.38523,                0.83722,                0.90975,                0.87042,                 0.9361,                0.79231,                0.61354,                0.37032,                0.82516,              0.0039115,              0.0039115,              0.0039115
                    126,                0.64769,                0.38438,                0.83733,                0.91046,                0.87041,                0.93616,                0.79201,                0.61346,                0.37033,                0.82515,               0.003862,               0.003862,               0.003862
                    127,                0.64798,                0.38479,                0.83806,                0.91022,                0.87109,                0.93608,                0.79232,                0.61348,                0.37051,                0.82514,              0.0038125,              0.0038125,              0.0038125
                    128,                0.64676,                0.38318,                  0.837,                0.91122,                0.87097,                 0.9361,                0.79253,                0.61334,                0.37048,                0.82509,               0.003763,               0.003763,               0.003763
                    129,                0.64646,                0.38303,                0.83655,                0.91077,                 0.8713,                0.93596,                0.79229,                 0.6133,                0.37066,                0.82507,              0.0037135,              0.0037135,              0.0037135
                    130,                0.64639,                0.38295,                0.83614,                0.91186,                0.87086,                0.93596,                0.79239,                0.61315,                0.37071,                0.82504,               0.003664,               0.003664,               0.003664
                    131,                0.64429,                0.38057,                0.83595,                0.91171,                 0.8708,                0.93587,                0.79265,                0.61334,                0.37098,                0.82504,              0.0036145,              0.0036145,              0.0036145
                    132,                0.64449,                0.38079,                0.83711,                0.91099,                0.87198,                0.93577,                0.79259,                0.61328,                0.37125,                0.82502,               0.003565,               0.003565,               0.003565
                    133,                 0.6446,                0.38139,                 0.8371,                0.90833,                 0.8735,                0.93566,                0.79254,                0.61328,                0.37164,                0.82499,              0.0035155,              0.0035155,              0.0035155
                    134,                0.64387,                0.38001,                0.83645,                0.90749,                0.87479,                0.93564,                0.79228,                0.61318,                 0.3717,                0.82498,               0.003466,               0.003466,               0.003466
                    135,                0.64277,                0.37874,                0.83683,                0.90742,                0.87544,                0.93553,                0.79242,                0.61313,                0.37205,                0.82497,              0.0034165,              0.0034165,              0.0034165
                    136,                0.64337,                 0.3796,                 0.8367,                0.90751,                0.87538,                0.93565,                0.79259,                0.61321,                0.37178,                0.82493,               0.003367,               0.003367,               0.003367
                    137,                0.63983,                0.37776,                0.83569,                0.90911,                0.87385,                0.93556,                0.79226,                0.61327,                0.37186,                0.82493,              0.0033175,              0.0033175,              0.0033175
                    138,                 0.6419,                0.37829,                0.83625,                0.90875,                0.87447,                0.93551,                 0.7923,                0.61324,                0.37208,                0.82495,               0.003268,               0.003268,               0.003268
                    139,                0.64127,                0.37806,                0.83639,                0.91021,                0.87307,                0.93558,                0.79248,                0.61324,                0.37215,                0.82496,              0.0032185,              0.0032185,              0.0032185
                    140,                0.64004,                0.37711,                0.83558,                0.90993,                0.87289,                0.93555,                0.79248,                0.61329,                0.37237,                0.82499,               0.003169,               0.003169,               0.003169
                    141,                0.64122,                0.37783,                0.83604,                0.90955,                0.87332,                0.93552,                0.79269,                0.61333,                0.37275,                0.82501,              0.0031195,              0.0031195,              0.0031195
                    142,                0.63978,                 0.3773,                0.83546,                0.90944,                0.87344,                0.93539,                0.79256,                0.61336,                  0.373,                0.82503,                0.00307,                0.00307,                0.00307
                    143,                0.63717,                0.37433,                0.83527,                0.90882,                0.87345,                0.93532,                0.79237,                0.61357,                0.37352,                0.82507,              0.0030205,              0.0030205,              0.0030205
                    144,                0.63502,                0.37201,                0.83387,                0.90848,                0.87317,                0.93509,                0.79234,                0.61368,                0.37399,                0.82506,               0.002971,               0.002971,               0.002971
                    145,                0.63685,                0.37265,                 0.8346,                0.90758,                0.87397,                0.93502,                 0.7924,                0.61378,                0.37433,                0.82508,              0.0029215,              0.0029215,              0.0029215
                    146,                0.63709,                0.37372,                0.83471,                0.90773,                0.87348,                0.93509,                0.79214,                0.61383,                 0.3747,                0.82511,               0.002872,               0.002872,               0.002872
                    147,                0.63811,                0.37472,                0.83503,                0.90614,                0.87416,                  0.935,                0.79216,                0.61396,                0.37504,                0.82512,              0.0028225,              0.0028225,              0.0028225
                    148,                0.63424,                0.37164,                 0.8338,                0.90512,                0.87441,                0.93497,                0.79207,                0.61415,                0.37572,                 0.8251,               0.002773,               0.002773,               0.002773
                    149,                0.63465,                0.37181,                0.83357,                0.90814,                 0.8727,                0.93483,                0.79195,                0.61431,                0.37628,                0.82516,              0.0027235,              0.0027235,              0.0027235
                    150,                0.63146,                0.36866,                0.83324,                0.91006,                0.87149,                0.93486,                0.79189,                0.61435,                0.37656,                0.82517,               0.002674,               0.002674,               0.002674
                    151,                0.63309,                0.37032,                0.83427,                0.90945,                0.87142,                0.93484,                0.79189,                 0.6145,                0.37662,                0.82522,              0.0026245,              0.0026245,              0.0026245
                    152,                0.63115,                0.36874,                0.83353,                0.90795,                0.87204,                0.93466,                0.79181,                0.61462,                0.37705,                0.82526,               0.002575,               0.002575,               0.002575
                    153,                 0.6289,                0.36621,                0.83235,                0.90824,                0.87171,                0.93452,                0.79156,                0.61468,                0.37732,                0.82528,              0.0025255,              0.0025255,              0.0025255
